Sira,Poz,Tarif,Birim,Miktar,BirimFiyat,Tutar
1,15.180.1002/A,Radye temel yan kalıbı yapılması,m²,120.4,450.0,54180.0
2,15.180.1002/B,"Bodrum perde kalıbı (çift yüz, boşluk düşümlü)",m²,1152.7,450.0,518715.0
3,15.180.1002/C,Bodrum kolon kalıbı,m²,184.0,450.0,82800.0
4,15.180.1002/D,Üst kat perde kalıbı (4 kat aralığı),m²,3468.8,450.0,1560960.0
5,15.180.1002/E,Üst kat kolon kalıbı (4 kat aralığı),m²,699.2,450.0,314640.0
6,15.180.1002/F,Döşeme alt kalıbı (5 kat),m²,4706.5,450.0,2117925.0
7,15.180.1002/G,"Kiriş kalıbı (yan + alt, 5 kat)",m²,1441.8,450.0,648810.0

,,TOPLAM,m²,11773.4,450.0,5298030.0
,,KDV %20,,,,1059606.0
,,Tevkifat 4/10,,,,423842.4
,,Tahsil KDV 6/10,,,,635763.6
,,ODENECEK (matrah+6/10 KDV),,,,5933793.6
