No,Kalıp Pozu,Birim,Miktar,Fire %5,Not
1,Radye yan kalıp,m²,120.4,126.4,Dış çevre × h=0.80 m
2,Bodrum perde kalıp (çift yüz),m²,1123.9,1180.1,CL 133.8 m × 2 × H 4.2 m
3,Bodrum kolon kalıp,m²,194.0,203.7,Çevre 46.2 m × H 4.2 m
4,"Üst kat perde kalıp (çift yüz, 4 aralık)",m²,3299.2,3464.2,CL 103.1 m × 2 × 4.0 m × 4
5,Üst kat kolon kalıp (4 aralık),m²,739.2,776.2,Çevre × 4.0 m × 4
6,Döşeme alt kalıp (5 kat),m²,4432.1,4653.7,Net alan; merdiven/asansör düşülmüş
7,Kiriş kalıp yan+alt (5 kat),m²,1441.8,1513.9,"L × (2×0.40 + 0.325); ort. 32.5/60, d=20"

,KALIP TOPLAM firesiz,m²,11350.6
,KALIP + %5 fire,m²,11918.1
